Vial,Treatment,Rep,AgeBin,CourtshipLatency,CopulationLatency,CopulationDuration,Copulation,Date,Temperature,Humidity,StartTime,Bin2,Bin3,Bin4,FinishSetUp,EndTime
20,LTS,4,2,9:33,9:38,10:00,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
21,LTC,1,2,9:25,10:34,10:48,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
22,LTC,2,2,9:50,9:54,10:14,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
23,LTC,3,2,9:34,10:24,10:48,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
24,LTC,4,2,9:31,10:32,10:51,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
25,LTP,1,3,9:30,9:53,10:20,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
26,LTP,2,3,9:26,9:34,10:06,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
27,LTP,3,3,,9:30,9:55,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
28,LTP,4,3,9:27,9:39,10:09,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
29,LTS,1,3,9:34,9:46,10:07,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
30,LTS,2,3,9:48,9:51,10:15,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
31,LTS,3,3,9:40,9:42,9:57,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
32,LTS,4,3,9:58,10:20,10:39,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
33,LTC,1,3,10:43,10:45,11:14,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
34,LTC,2,3,10:02,10:07,10:25,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
35,LTC,3,3,9:46,10:31,10:57,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
36,LTC,4,3,10:32,10:32,10:59,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
37,LTP,1,4,9:32,9:45,10:03,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
38,LTP,2,4,9:35,10:00,10:21,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
39,LTP,3,4,9:56,10:06,10:27,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
